Time,Open,High,Low,Close,Volume
2022-09-21 14:50:00,143.792,143.916,143.564,143.588,2698
2022-09-21 14:55:00,143.592,143.63,143.403,143.496,2230
2022-09-21 15:00:00,143.49,143.692,143.449,143.65,2088
2022-09-21 15:05:00,143.65,143.784,143.618,143.766,1769
2022-09-21 15:10:00,143.768,143.912,143.596,143.596,2071
2022-09-21 15:15:00,143.599,143.72,143.504,143.68,1867
2022-09-21 15:20:00,143.688,143.77,143.646,143.702,1573
2022-09-21 15:25:00,143.702,143.806,143.702,143.752,1344
2022-09-21 15:30:00,143.752,143.86,143.728,143.736,1239
2022-09-21 15:35:00,143.734,143.866,143.716,143.846,1108
2022-09-21 15:40:00,143.846,143.955,143.764,143.935,829
2022-09-21 15:45:00,143.935,144.058,143.922,144.024,965
2022-09-21 15:50:00,144.025,144.026,143.902,143.954,1012
2022-09-21 15:55:00,143.956,143.968,143.846,143.867,728
2022-09-21 16:00:00,143.866,143.958,143.866,143.954,543
2022-09-21 16:05:00,143.955,143.955,143.888,143.934,475
2022-09-21 16:10:00,143.932,143.952,143.926,143.936,315
2022-09-21 16:15:00,143.936,143.95,143.913,143.922,173
2022-09-21 16:20:00,143.922,144.003,143.922,143.998,402
2022-09-21 16:25:00,143.996,144.0,143.965,143.982,522
2022-09-21 16:30:00,143.984,144.049,143.984,144.048,217
2022-09-21 16:35:00,144.047,144.053,144.012,144.016,214
2022-09-21 16:40:00,144.018,144.051,144.016,144.048,306
2022-09-21 16:45:00,144.046,144.05,144.012,144.042,1008
2022-09-21 16:50:00,144.044,144.05,144.014,144.048,818
2022-09-21 16:55:00,144.046,144.071,144.032,144.048,258
2022-09-21 17:00:00,144.055,144.073,144.055,144.073,2
2022-09-21 17:05:00,144.058,144.084,144.02,144.051,448
2022-09-21 17:10:00,144.046,144.082,144.032,144.032,635
2022-09-21 17:15:00,144.022,144.072,144.02,144.072,89
2022-09-21 17:20:00,144.046,144.048,144.014,144.048,44
2022-09-21 17:25:00,144.047,144.087,144.01,144.085,628
2022-09-21 17:30:00,144.086,144.096,144.064,144.072,486
2022-09-21 17:35:00,144.066,144.066,144.053,144.053,79
2022-09-21 17:40:00,144.051,144.069,144.05,144.064,341
2022-09-21 17:45:00,144.065,144.07,144.064,144.068,68
2022-09-21 17:50:00,144.07,144.073,144.053,144.07,60
2022-09-21 17:55:00,144.07,144.075,144.07,144.073,30
2022-09-21 18:00:00,144.077,144.088,144.062,144.086,373
2022-09-21 18:05:00,144.082,144.118,144.032,144.084,405
2022-09-21 18:10:00,144.086,144.086,144.04,144.079,231
2022-09-21 18:15:00,144.082,144.179,144.074,144.172,296
2022-09-21 18:20:00,144.17,144.19,144.115,144.144,290
2022-09-21 18:25:00,144.136,144.178,144.136,144.17,211
2022-09-21 18:30:00,144.17,144.2,144.168,144.19,166
2022-09-21 18:35:00,144.189,144.26,144.183,144.254,259
2022-09-21 18:40:00,144.251,144.296,144.244,144.276,402
2022-09-21 18:45:00,144.274,144.389,144.274,144.384,401
2022-09-21 18:50:00,144.378,144.387,144.376,144.384,134
2022-09-21 18:55:00,144.382,144.44,144.381,144.388,166
2022-09-21 19:00:00,144.389,144.401,144.306,144.348,456
2022-09-21 19:05:00,144.348,144.348,144.291,144.291,368
2022-09-21 19:10:00,144.295,144.396,144.295,144.386,242
2022-09-21 19:15:00,144.386,144.488,144.379,144.461,370
2022-09-21 19:20:00,144.461,144.461,144.394,144.404,431
2022-09-21 19:25:00,144.405,144.5,144.404,144.489,430
2022-09-21 19:30:00,144.484,144.557,144.412,144.424,688
